,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2022-06-28 04:00:00,35.00,2168.00,227.00,67.00,0.00,211.00,197.00,2116.00,96.00,4.00,193.00
2022-06-28 05:00:00,33.00,2173.00,222.00,67.00,0.00,229.00,270.00,2116.00,234.00,4.00,196.00
2022-06-28 06:00:00,33.00,2188.00,222.00,67.00,0.00,223.00,190.00,2116.00,415.00,3.00,151.00
2022-06-28 07:00:00,33.00,2187.00,227.00,68.00,0.00,229.00,195.00,2117.00,556.00,3.00,116.00
2022-06-28 08:00:00,33.00,2181.00,218.00,68.00,0.00,205.00,231.00,2116.00,634.00,3.00,115.00
2022-06-28 09:00:00,32.00,2174.00,220.00,67.00,0.00,172.00,176.00,2115.00,665.00,4.00,109.00
2022-06-28 10:00:00,34.00,2165.00,221.00,66.00,0.00,154.00,173.00,2114.00,673.00,4.00,97.00
2022-06-28 11:00:00,34.00,2170.00,220.00,65.00,0.00,150.00,123.00,2112.00,672.00,3.00,114.00
2022-06-28 12:00:00,33.00,2145.00,218.00,65.00,0.00,149.00,238.00,2111.00,583.00,3.00,196.00
2022-06-28 13:00:00,35.00,2243.00,223.00,67.00,0.00,179.00,329.00,2108.00,433.00,3.00,110.00
2022-06-28 14:00:00,32.00,2298.00,217.00,67.00,0.00,198.00,308.00,2107.00,296.00,2.00,201.00
2022-06-28 15:00:00,32.00,2211.00,218.00,66.00,0.00,246.00,493.00,2107.00,171.00,2.00,162.00
2022-06-28 16:00:00,33.00,2178.00,220.00,67.00,0.00,277.00,900.00,2105.00,70.00,3.00,75.00
2022-06-28 17:00:00,31.00,2178.00,223.00,65.00,0.00,290.00,957.00,2106.00,10.00,3.00,61.00
2022-06-28 18:00:00,32.00,2185.00,224.00,63.00,0.00,291.00,887.00,2105.00,0.00,3.00,63.00
2022-06-28 19:00:00,24.00,2183.00,227.00,65.00,0.00,281.00,544.00,2106.00,0.00,3.00,69.00
2022-06-28 20:00:00,24.00,2156.00,226.00,65.00,0.00,238.00,204.00,2106.00,0.00,3.00,86.00
2022-06-28 21:00:00,23.00,2048.00,226.00,65.00,0.00,186.00,75.00,2108.00,0.00,4.00,108.00
2022-06-28 22:00:00,23.00,2098.00,221.00,66.00,0.00,151.00,16.00,2108.00,0.00,4.00,140.00
2022-06-28 23:00:00,23.00,2079.00,221.00,67.00,0.00,143.00,9.00,2107.00,0.00,4.00,171.00
2022-06-29 00:00:00,24.00,1976.00,223.00,66.00,0.00,139.00,9.00,2109.00,0.00,4.00,260.00
2022-06-29 01:00:00,24.00,1904.00,223.00,66.00,0.00,145.00,9.00,2110.00,0.00,4.00,341.00
2022-06-29 02:00:00,24.00,1920.00,224.00,67.00,0.00,155.00,9.00,2111.00,1.00,4.00,334.00
2022-06-29 03:00:00,25.00,2042.00,223.00,67.00,0.00,168.00,22.00,2112.00,25.00,4.00,326.00
2022-06-29 04:00:00,25.00,2087.00,222.00,66.00,0.00,197.00,99.00,2113.00,117.00,4.00,232.00
2022-06-29 05:00:00,25.00,2097.00,218.00,67.00,0.00,229.00,163.00,2115.00,329.00,4.00,102.00
2022-06-29 06:00:00,24.00,2123.00,222.00,67.00,0.00,220.00,158.00,2114.00,563.00,4.00,49.00
2022-06-29 07:00:00,25.00,2118.00,220.00,67.00,0.00,219.00,69.00,2114.00,748.00,4.00,65.00
2022-06-29 08:00:00,25.00,1936.00,212.00,65.00,0.00,196.00,142.00,2114.00,861.00,4.00,86.00
2022-06-29 09:00:00,25.00,1933.00,214.00,65.00,0.00,178.00,174.00,2113.00,912.00,4.00,62.00
2022-06-29 10:00:00,25.00,1792.00,214.00,65.00,0.00,150.00,377.00,2112.00,900.00,4.00,42.00
2022-06-29 11:00:00,25.00,1782.00,213.00,65.00,0.00,158.00,413.00,2110.00,856.00,5.00,60.00
2022-06-29 12:00:00,25.00,1784.00,215.00,66.00,0.00,161.00,442.00,2109.00,781.00,5.00,84.00
2022-06-29 13:00:00,25.00,1786.00,214.00,67.00,0.00,165.00,584.00,2107.00,633.00,5.00,51.00
2022-06-29 14:00:00,25.00,1789.00,210.00,67.00,0.00,189.00,649.00,2105.00,447.00,5.00,44.00
2022-06-29 15:00:00,24.00,1797.00,211.00,67.00,0.00,234.00,932.00,2105.00,238.00,4.00,25.00
2022-06-29 16:00:00,24.00,1801.00,215.00,64.00,0.00,268.00,1193.00,2103.00,72.00,4.00,12.00
2022-06-29 17:00:00,24.00,1799.00,216.00,64.00,0.00,278.00,1190.00,2104.00,11.00,4.00,16.00
2022-06-29 18:00:00,24.00,1799.00,218.00,65.00,0.00,280.00,1136.00,2103.00,0.00,4.00,20.00
2022-06-29 19:00:00,25.00,1800.00,219.00,65.00,0.00,266.00,905.00,2103.00,0.00,4.00,29.00
2022-06-29 20:00:00,26.00,1799.00,217.00,65.00,0.00,238.00,615.00,2103.00,0.00,4.00,33.00
2022-06-29 21:00:00,33.00,1766.00,218.00,67.00,0.00,182.00,393.00,2102.00,0.00,4.00,45.00
2022-06-29 22:00:00,35.00,1731.00,218.00,66.00,0.00,156.00,146.00,2103.00,0.00,4.00,56.00
2022-06-29 23:00:00,34.00,1783.00,218.00,66.00,0.00,144.00,9.00,2103.00,0.00,5.00,37.00
2022-06-30 00:00:00,33.00,1827.00,218.00,67.00,0.00,142.00,9.00,2107.00,0.00,4.00,22.00
2022-06-30 01:00:00,33.00,1963.00,218.00,67.00,0.00,141.00,9.00,2107.00,0.00,4.00,22.00
2022-06-30 02:00:00,33.00,1977.00,223.00,68.00,0.00,151.00,9.00,2110.00,2.00,4.00,21.00
2022-06-30 03:00:00,32.00,1946.00,222.00,68.00,0.00,166.00,104.00,2110.00,24.00,4.00,10.00
2022-06-30 04:00:00,32.00,1931.00,218.00,67.00,0.00,190.00,254.00,2111.00,118.00,4.00,3.00
2022-06-30 05:00:00,32.00,1955.00,216.00,67.00,0.00,208.00,278.00,2110.00,331.00,4.00,2.00
2022-06-30 06:00:00,30.00,1960.00,210.00,66.00,0.00,220.00,133.00,2110.00,548.00,5.00,2.00
2022-06-30 07:00:00,31.00,1971.00,210.00,66.00,0.00,213.00,124.00,2110.00,725.00,4.00,5.00
2022-06-30 08:00:00,30.00,2037.00,190.00,67.00,0.00,186.00,131.00,2110.00,846.00,4.00,4.00
2022-06-30 09:00:00,29.00,2087.00,193.00,66.00,0.00,157.00,150.00,2110.00,917.00,4.00,5.00
2022-06-30 10:00:00,31.00,2093.00,193.00,67.00,0.00,140.00,204.00,2108.00,926.00,4.00,9.00
2022-06-30 11:00:00,34.00,2096.00,192.00,67.00,0.00,140.00,222.00,2107.00,892.00,4.00,10.00
2022-06-30 12:00:00,33.00,2097.00,192.00,67.00,0.00,139.00,278.00,2105.00,806.00,4.00,12.00
2022-06-30 13:00:00,34.00,2089.00,193.00,67.00,0.00,146.00,361.00,2104.00,670.00,4.00,8.00
2022-06-30 14:00:00,32.00,2075.00,191.00,67.00,0.00,179.00,447.00,2104.00,473.00,4.00,5.00
2022-06-30 15:00:00,32.00,2076.00,191.00,67.00,0.00,216.00,745.00,2102.00,248.00,4.00,5.00
2022-06-30 16:00:00,32.00,2077.00,196.00,66.00,0.00,258.00,947.00,2101.00,72.00,4.00,4.00
2022-06-30 17:00:00,33.00,2079.00,194.00,66.00,0.00,274.00,939.00,2101.00,11.00,4.00,7.00
2022-06-30 18:00:00,33.00,2089.00,196.00,67.00,0.00,273.00,909.00,2099.00,0.00,3.00,7.00
2022-06-30 19:00:00,34.00,2093.00,196.00,67.00,0.00,249.00,704.00,2102.00,0.00,3.00,4.00
2022-06-30 20:00:00,34.00,2084.00,194.00,68.00,0.00,232.00,330.00,2102.00,0.00,4.00,3.00
2022-06-30 21:00:00,33.00,1863.00,194.00,68.00,0.00,171.00,35.00,2102.00,0.00,4.00,3.00
2022-06-30 22:00:00,32.00,2010.00,193.00,68.00,0.00,126.00,9.00,2099.00,0.00,4.00,3.00
2022-06-30 23:00:00,34.00,2115.00,191.00,67.00,0.00,119.00,9.00,2102.00,0.00,4.00,2.00
2022-07-01 00:00:00,34.00,2039.00,192.00,68.00,0.00,117.00,9.00,2103.00,0.00,4.00,0.00
2022-07-01 01:00:00,34.00,2127.00,195.00,68.00,0.00,116.00,9.00,2104.00,0.00,4.00,1.00
2022-07-01 02:00:00,33.00,2026.00,197.00,68.00,0.00,126.00,9.00,2106.00,1.00,4.00,0.00
2022-07-01 03:00:00,33.00,2067.00,197.00,69.00,0.00,131.00,75.00,2106.00,23.00,4.00,3.00
2022-07-01 04:00:00,33.00,2013.00,195.00,69.00,0.00,167.00,147.00,2107.00,111.00,4.00,2.00
2022-07-01 05:00:00,33.00,2028.00,212.00,67.00,0.00,240.00,69.00,2107.00,303.00,4.00,3.00
2022-07-01 06:00:00,34.00,2142.00,240.00,63.00,0.00,238.00,29.00,2107.00,488.00,3.00,5.00
2022-07-01 07:00:00,33.00,2156.00,242.00,64.00,0.00,205.00,30.00,2107.00,659.00,3.00,10.00
2022-07-01 08:00:00,33.00,2179.00,242.00,64.00,0.00,187.00,166.00,2107.00,773.00,3.00,16.00
2022-07-01 09:00:00,33.00,2130.00,266.00,64.00,0.00,163.00,199.00,2106.00,839.00,4.00,24.00
2022-07-01 10:00:00,32.00,2123.00,269.00,64.00,0.00,146.00,192.00,2105.00,808.00,4.00,31.00
2022-07-01 11:00:00,33.00,2148.00,266.00,64.00,0.00,146.00,234.00,2104.00,744.00,4.00,30.00
2022-07-01 12:00:00,32.00,2126.00,262.00,64.00,0.00,144.00,228.00,2103.00,658.00,4.00,48.00
2022-07-01 13:00:00,31.00,2123.00,260.00,64.00,0.00,152.00,264.00,2100.00,512.00,4.00,37.00
2022-07-01 14:00:00,33.00,2111.00,260.00,64.00,0.00,177.00,352.00,2098.00,380.00,4.00,29.00
2022-07-01 15:00:00,33.00,2104.00,263.00,64.00,0.00,203.00,598.00,2098.00,229.00,4.00,22.00
2022-07-01 16:00:00,33.00,2115.00,264.00,64.00,0.00,252.00,812.00,2095.00,76.00,4.00,9.00
2022-07-01 17:00:00,33.00,2118.00,265.00,64.00,0.00,264.00,807.00,2094.00,11.00,4.00,7.00
2022-07-01 18:00:00,34.00,2132.00,265.00,64.00,0.00,257.00,674.00,2096.00,0.00,4.00,4.00
2022-07-01 19:00:00,33.00,2123.00,267.00,64.00,0.00,216.00,581.00,2095.00,0.00,4.00,2.00
2022-07-01 20:00:00,33.00,2099.00,263.00,64.00,0.00,201.00,201.00,2095.00,0.00,4.00,1.00
2022-07-01 21:00:00,33.00,2054.00,262.00,69.00,0.00,184.00,76.00,2095.00,0.00,4.00,1.00
2022-07-01 22:00:00,33.00,2052.00,263.00,69.00,0.00,133.00,62.00,2097.00,0.00,4.00,0.00
2022-07-01 23:00:00,33.00,1996.00,263.00,69.00,0.00,126.00,93.00,2098.00,0.00,4.00,0.00
2022-07-02 00:00:00,33.00,1977.00,264.00,69.00,0.00,125.00,94.00,2100.00,0.00,4.00,1.00
2022-07-02 01:00:00,34.00,1973.00,263.00,69.00,0.00,124.00,95.00,2104.00,0.00,4.00,1.00
2022-07-02 02:00:00,33.00,2024.00,261.00,69.00,0.00,126.00,34.00,2104.00,1.00,4.00,3.00
2022-07-02 03:00:00,32.00,2057.00,264.00,69.00,0.00,140.00,14.00,2104.00,24.00,4.00,6.00
2022-07-02 04:00:00,33.00,2046.00,261.00,69.00,0.00,169.00,14.00,2105.00,116.00,4.00,6.00
2022-07-02 05:00:00,33.00,1999.00,262.00,69.00,0.00,198.00,110.00,2105.00,318.00,4.00,4.00
2022-07-02 06:00:00,34.00,2061.00,260.00,69.00,0.00,198.00,200.00,2105.00,543.00,4.00,6.00
2022-07-02 07:00:00,33.00,2015.00,260.00,69.00,0.00,193.00,248.00,2104.00,721.00,4.00,20.00
2022-07-02 08:00:00,33.00,1945.00,257.00,69.00,0.00,179.00,166.00,2105.00,831.00,4.00,48.00
2022-07-02 09:00:00,34.00,1917.00,259.00,68.00,0.00,157.00,162.00,2104.00,884.00,4.00,53.00
2022-07-02 10:00:00,32.00,1927.00,259.00,68.00,0.00,132.00,139.00,2103.00,901.00,4.00,65.00
2022-07-02 11:00:00,34.00,1982.00,249.00,69.00,0.00,131.00,131.00,2102.00,843.00,4.00,72.00
2022-07-02 12:00:00,33.00,1993.00,249.00,69.00,0.00,136.00,98.00,2100.00,755.00,4.00,85.00
2022-07-02 13:00:00,33.00,2042.00,251.00,69.00,0.00,139.00,188.00,2099.00,590.00,3.00,91.00
2022-07-02 14:00:00,32.00,2073.00,252.00,69.00,0.00,151.00,257.00,2098.00,405.00,4.00,58.00
2022-07-02 15:00:00,33.00,2085.00,253.00,69.00,0.00,183.00,449.00,2094.00,208.00,4.00,32.00
2022-07-02 16:00:00,33.00,2053.00,259.00,68.00,0.00,198.00,646.00,2094.00,60.00,3.00,11.00
2022-07-02 17:00:00,32.00,2059.00,261.00,69.00,0.00,204.00,859.00,2094.00,7.00,3.00,11.00
2022-07-02 18:00:00,33.00,2040.00,259.00,69.00,0.00,204.00,884.00,2094.00,0.00,3.00,9.00
2022-07-02 19:00:00,34.00,2000.00,259.00,68.00,0.00,200.00,653.00,2095.00,0.00,4.00,5.00
2022-07-02 20:00:00,33.00,1979.00,260.00,68.00,0.00,180.00,260.00,2093.00,0.00,4.00,5.00
2022-07-02 21:00:00,33.00,1926.00,261.00,67.00,0.00,156.00,105.00,2096.00,0.00,4.00,1.00
2022-07-02 22:00:00,33.00,1880.00,257.00,67.00,0.00,126.00,46.00,2098.00,0.00,4.00,2.00
2022-07-02 23:00:00,35.00,1851.00,257.00,67.00,0.00,122.00,19.00,2101.00,0.00,4.00,14.00
2022-07-03 00:00:00,34.00,1866.00,257.00,67.00,0.00,121.00,19.00,2101.00,0.00,4.00,14.00
2022-07-03 01:00:00,34.00,1830.00,230.00,67.00,0.00,121.00,19.00,2103.00,0.00,4.00,15.00
2022-07-03 02:00:00,33.00,1846.00,232.00,66.00,0.00,125.00,19.00,2105.00,1.00,4.00,18.00
2022-07-03 03:00:00,33.00,1865.00,229.00,67.00,0.00,138.00,19.00,2106.00,24.00,4.00,14.00
2022-07-03 04:00:00,34.00,1878.00,226.00,67.00,0.00,165.00,21.00,2105.00,113.00,4.00,6.00
2022-07-03 05:00:00,34.00,1885.00,225.00,67.00,0.00,182.00,79.00,2105.00,305.00,4.00,2.00
2022-07-03 06:00:00,35.00,1921.00,224.00,67.00,0.00,184.00,178.00,2105.00,519.00,4.00,4.00
2022-07-03 07:00:00,34.00,1884.00,224.00,67.00,0.00,176.00,230.00,2104.00,693.00,5.00,13.00
2022-07-03 08:00:00,35.00,1834.00,225.00,64.00,0.00,157.00,267.00,2104.00,809.00,4.00,26.00
2022-07-03 09:00:00,33.00,1850.00,222.00,65.00,0.00,134.00,280.00,2103.00,867.00,4.00,40.00
2022-07-03 10:00:00,34.00,1872.00,223.00,65.00,0.00,122.00,270.00,2102.00,862.00,4.00,43.00
2022-07-03 11:00:00,33.00,2000.00,223.00,66.00,0.00,123.00,149.00,2101.00,822.00,4.00,46.00
2022-07-03 12:00:00,34.00,2027.00,225.00,66.00,0.00,124.00,130.00,2099.00,740.00,4.00,37.00
2022-07-03 13:00:00,33.00,2055.00,247.00,66.00,0.00,130.00,173.00,2097.00,619.00,4.00,32.00
2022-07-03 14:00:00,34.00,1970.00,247.00,66.00,0.00,151.00,362.00,2095.00,437.00,4.00,25.00
2022-07-03 15:00:00,33.00,1967.00,247.00,66.00,0.00,167.00,448.00,2094.00,228.00,4.00,20.00
2022-07-03 16:00:00,33.00,1974.00,252.00,65.00,0.00,184.00,485.00,2092.00,68.00,4.00,12.00
2022-07-03 17:00:00,34.00,1986.00,253.00,65.00,0.00,196.00,564.00,2092.00,11.00,4.00,7.00
2022-07-03 18:00:00,34.00,1966.00,254.00,64.00,0.00,195.00,498.00,2093.00,0.00,3.00,6.00
2022-07-03 19:00:00,32.00,1982.00,255.00,64.00,0.00,196.00,446.00,2093.00,0.00,4.00,6.00
2022-07-03 20:00:00,33.00,1983.00,254.00,64.00,0.00,167.00,151.00,2095.00,0.00,4.00,6.00
2022-07-03 21:00:00,33.00,1869.00,266.00,62.00,0.00,132.00,9.00,2096.00,0.00,4.00,7.00
2022-07-03 22:00:00,34.00,2014.00,263.00,62.00,0.00,120.00,27.00,2096.00,0.00,4.00,4.00
2022-07-03 23:00:00,33.00,2055.00,264.00,64.00,0.00,113.00,13.00,2098.00,0.00,4.00,6.00
2022-07-04 00:00:00,32.00,2015.00,262.00,64.00,0.00,114.00,13.00,2099.00,0.00,4.00,6.00
2022-07-04 01:00:00,32.00,1981.00,262.00,64.00,0.00,113.00,13.00,2100.00,0.00,4.00,10.00
2022-07-04 02:00:00,33.00,2009.00,265.00,64.00,0.00,117.00,13.00,2101.00,1.00,4.00,14.00
2022-07-04 03:00:00,33.00,1968.00,263.00,64.00,0.00,135.00,13.00,2102.00,24.00,4.00,14.00
2022-07-04 04:00:00,34.00,1986.00,265.00,63.00,0.00,174.00,207.00,2103.00,116.00,4.00,16.00
2022-07-04 05:00:00,33.00,2010.00,259.00,63.00,0.00,212.00,246.00,2103.00,320.00,4.00,13.00
2022-07-04 06:00:00,33.00,1966.00,255.00,63.00,0.00,206.00,233.00,2104.00,545.00,3.00,15.00
2022-07-04 07:00:00,34.00,1986.00,254.00,63.00,0.00,207.00,161.00,2104.00,718.00,3.00,22.00
2022-07-04 08:00:00,34.00,2038.00,255.00,66.00,0.00,184.00,143.00,2104.00,844.00,4.00,10.00
2022-07-04 09:00:00,33.00,2049.00,253.00,65.00,0.00,161.00,211.00,2103.00,911.00,4.00,15.00
2022-07-04 10:00:00,32.00,2048.00,253.00,64.00,0.00,140.00,341.00,2102.00,918.00,4.00,22.00
2022-07-04 11:00:00,33.00,2050.00,255.00,64.00,0.00,152.00,355.00,2102.00,880.00,4.00,31.00
2022-07-04 12:00:00,33.00,2050.00,256.00,63.00,0.00,152.00,472.00,2099.00,791.00,4.00,35.00
2022-07-04 13:00:00,33.00,2053.00,255.00,63.00,0.00,149.00,554.00,2097.00,653.00,4.00,31.00
2022-07-04 14:00:00,33.00,2055.00,253.00,63.00,0.00,194.00,516.00,2094.00,469.00,4.00,24.00
2022-07-04 15:00:00,33.00,2061.00,253.00,63.00,0.00,215.00,777.00,2094.00,245.00,4.00,26.00
2022-07-04 16:00:00,32.00,2060.00,257.00,63.00,0.00,218.00,971.00,2094.00,71.00,4.00,14.00
2022-07-04 17:00:00,34.00,2056.00,256.00,63.00,0.00,236.00,933.00,2093.00,11.00,4.00,18.00
2022-07-04 18:00:00,34.00,2057.00,256.00,63.00,0.00,234.00,888.00,2093.00,0.00,3.00,19.00
2022-07-04 19:00:00,35.00,2059.00,258.00,64.00,0.00,232.00,554.00,2093.00,0.00,3.00,30.00
2022-07-04 20:00:00,34.00,2059.00,258.00,64.00,0.00,205.00,387.00,2093.00,0.00,4.00,34.00
2022-07-04 21:00:00,32.00,2011.00,260.00,64.00,0.00,156.00,74.00,2094.00,0.00,4.00,40.00
2022-07-04 22:00:00,31.00,1892.00,260.00,65.00,0.00,123.00,45.00,2096.00,0.00,4.00,17.00
2022-07-04 23:00:00,32.00,1905.00,258.00,64.00,0.00,116.00,36.00,2097.00,0.00,4.00,9.00
