,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore
2022-07-05 02:00:00,306.00,4014.00,36.00,150.00,-1222.00,3134.00,543.00,26203.00,0.00,185.00,2592.00
2022-07-05 03:00:00,308.00,3932.00,35.00,150.00,-840.00,3229.00,584.00,26320.00,175.00,178.00,2226.00
2022-07-05 04:00:00,308.00,3963.00,36.00,152.00,322.00,3407.00,961.00,26709.00,350.00,182.00,2027.00
2022-07-05 05:00:00,310.00,4000.00,35.00,152.00,1023.00,3571.00,1262.00,27277.00,1131.00,177.00,1643.00
2022-07-05 06:00:00,308.00,4056.00,33.00,164.00,1089.00,3609.00,1342.00,27362.00,3002.00,180.00,1165.00
2022-07-05 07:00:00,310.00,3959.00,34.00,385.00,1137.00,3573.00,988.00,27414.00,5397.00,177.00,1048.00
2022-07-05 08:00:00,310.00,4045.00,34.00,403.00,1077.00,3510.00,1131.00,27364.00,7426.00,176.00,1024.00
2022-07-05 09:00:00,311.00,3970.00,34.00,351.00,1138.00,3466.00,1441.00,27272.00,8727.00,178.00,1108.00
2022-07-05 10:00:00,312.00,3701.00,33.00,352.00,1137.00,3593.00,1224.00,27248.00,9468.00,179.00,1300.00
2022-07-05 11:00:00,307.00,3672.00,32.00,351.00,947.00,3448.00,1068.00,27163.00,9815.00,178.00,1483.00
2022-07-05 12:00:00,310.00,3808.00,32.00,294.00,1078.00,3435.00,1106.00,27242.00,9867.00,182.00,1636.00
2022-07-05 13:00:00,314.00,3715.00,33.00,201.00,665.00,3260.00,1030.00,27277.00,9375.00,184.00,1847.00
2022-07-05 14:00:00,314.00,3764.00,33.00,178.00,-43.00,3298.00,1271.00,27202.00,8349.00,189.00,2027.00
2022-07-05 15:00:00,315.00,3817.00,33.00,150.00,-238.00,3256.00,1418.00,27223.00,6877.00,189.00,2245.00
2022-07-05 16:00:00,305.00,3691.00,34.00,163.00,556.00,3720.00,1899.00,27152.00,4861.00,195.00,2506.00
2022-07-05 17:00:00,307.00,3786.00,34.00,318.00,1402.00,4280.00,2410.00,27132.00,2590.00,193.00,2945.00
2022-07-05 18:00:00,309.00,3887.00,34.00,250.00,1442.00,4157.00,2504.00,27213.00,911.00,194.00,3368.00
2022-07-05 19:00:00,306.00,3779.00,34.00,152.00,1063.00,4057.00,1916.00,27262.00,287.00,194.00,3642.00
2022-07-05 20:00:00,310.00,3742.00,34.00,152.00,1195.00,3889.00,1744.00,26592.00,0.00,190.00,4296.00
2022-07-05 21:00:00,308.00,3579.00,33.00,152.00,962.00,3589.00,1621.00,26184.00,0.00,189.00,4673.00
2022-07-05 22:00:00,307.00,2802.00,32.00,153.00,504.00,3210.00,1802.00,26044.00,0.00,192.00,4508.00
2022-07-05 23:00:00,306.00,2358.00,32.00,153.00,77.00,3013.00,1412.00,26075.00,0.00,184.00,4178.00
2022-07-06 00:00:00,308.00,2412.00,31.00,151.00,-382.00,2931.00,952.00,26029.00,0.00,192.00,3742.00
2022-07-06 01:00:00,307.00,2443.00,31.00,151.00,-628.00,2932.00,772.00,26094.00,0.00,190.00,3228.00
2022-07-06 02:00:00,306.00,2457.00,31.00,150.00,-793.00,3076.00,684.00,26240.00,0.00,192.00,2970.00
2022-07-06 03:00:00,305.00,2621.00,31.00,150.00,-329.00,3112.00,671.00,26144.00,175.00,188.00,2848.00
2022-07-06 04:00:00,306.00,3634.00,31.00,152.00,273.00,3148.00,921.00,26217.00,354.00,189.00,2735.00
2022-07-06 05:00:00,307.00,3845.00,31.00,239.00,480.00,3381.00,1335.00,26381.00,1086.00,186.00,2247.00
2022-07-06 06:00:00,307.00,4102.00,30.00,246.00,730.00,3523.00,1887.00,26557.00,2795.00,184.00,1607.00
2022-07-06 07:00:00,305.00,4004.00,30.00,505.00,678.00,3518.00,1212.00,26532.00,4915.00,174.00,1563.00
2022-07-06 08:00:00,308.00,3647.00,30.00,519.00,552.00,3699.00,999.00,26483.00,6868.00,167.00,1644.00
2022-07-06 09:00:00,307.00,3266.00,31.00,203.00,469.00,3652.00,1017.00,26354.00,8241.00,171.00,1791.00
2022-07-06 10:00:00,307.00,3692.00,32.00,152.00,616.00,3547.00,1290.00,26273.00,9201.00,180.00,1842.00
2022-07-06 11:00:00,316.00,3877.00,32.00,251.00,940.00,3538.00,1377.00,26213.00,9495.00,195.00,1893.00
2022-07-06 12:00:00,321.00,3900.00,34.00,257.00,530.00,3414.00,1462.00,26212.00,9346.00,194.00,2064.00
2022-07-06 13:00:00,321.00,3784.00,34.00,252.00,519.00,3374.00,1182.00,26330.00,8791.00,197.00,2334.00
2022-07-06 14:00:00,325.00,3763.00,35.00,258.00,34.00,3366.00,1534.00,26335.00,7864.00,201.00,2609.00
2022-07-06 15:00:00,337.00,3785.00,35.00,381.00,-134.00,3481.00,1617.00,26270.00,6644.00,200.00,2884.00
2022-07-06 16:00:00,336.00,3961.00,36.00,411.00,760.00,3769.00,2556.00,26252.00,4783.00,199.00,3067.00
2022-07-06 17:00:00,337.00,4085.00,36.00,427.00,1541.00,4243.00,3070.00,26288.00,2545.00,200.00,3133.00
2022-07-06 18:00:00,337.00,4163.00,36.00,632.00,1438.00,3995.00,2815.00,26307.00,883.00,200.00,2949.00
2022-07-06 19:00:00,337.00,4501.00,37.00,959.00,821.00,3734.00,2131.00,26264.00,283.00,196.00,2827.00
2022-07-06 20:00:00,335.00,4406.00,36.00,1023.00,1005.00,3870.00,2209.00,26211.00,0.00,202.00,2979.00
2022-07-06 21:00:00,338.00,4243.00,36.00,1019.00,1291.00,3759.00,2227.00,26142.00,0.00,206.00,3170.00
2022-07-06 22:00:00,359.00,4013.00,27.00,860.00,705.00,3259.00,1735.00,25701.00,0.00,195.00,3110.00
2022-07-06 23:00:00,359.00,4045.00,27.00,577.00,-191.00,3058.00,1215.00,25718.00,0.00,195.00,3269.00
2022-07-07 00:00:00,358.00,4089.00,27.00,575.00,-751.00,3000.00,1059.00,25697.00,0.00,189.00,3449.00
2022-07-07 01:00:00,359.00,4174.00,27.00,425.00,-1314.00,2968.00,695.00,25700.00,0.00,191.00,3437.00
2022-07-07 02:00:00,358.00,4310.00,29.00,206.00,-1382.00,2954.00,626.00,25745.00,0.00,188.00,3082.00
2022-07-07 03:00:00,358.00,4316.00,30.00,151.00,-1275.00,3093.00,710.00,25964.00,173.00,188.00,2879.00
2022-07-07 04:00:00,358.00,4632.00,31.00,152.00,-493.00,3364.00,1035.00,26118.00,350.00,197.00,2727.00
2022-07-07 05:00:00,358.00,4626.00,31.00,152.00,331.00,3672.00,1281.00,26386.00,1088.00,198.00,2440.00
2022-07-07 06:00:00,358.00,4646.00,31.00,190.00,890.00,4004.00,1268.00,26667.00,2898.00,195.00,2369.00
2022-07-07 07:00:00,357.00,4380.00,32.00,228.00,1005.00,3924.00,1476.00,26652.00,5208.00,191.00,2660.00
2022-07-07 08:00:00,357.00,4427.00,33.00,228.00,705.00,3649.00,1476.00,26724.00,7007.00,187.00,2783.00
2022-07-07 09:00:00,357.00,4496.00,33.00,227.00,555.00,3573.00,1416.00,26718.00,8159.00,189.00,3376.00
2022-07-07 10:00:00,358.00,4617.00,34.00,195.00,592.00,3494.00,1428.00,26801.00,8675.00,182.00,3718.00
2022-07-07 11:00:00,358.00,4691.00,35.00,193.00,687.00,3197.00,1354.00,26801.00,8643.00,173.00,4629.00
2022-07-07 12:00:00,358.00,4571.00,36.00,161.00,403.00,3072.00,1098.00,26824.00,8419.00,166.00,5055.00
2022-07-07 13:00:00,357.00,4853.00,38.00,152.00,-225.00,2973.00,1197.00,26851.00,7969.00,177.00,5063.00
2022-07-07 14:00:00,358.00,4598.00,39.00,151.00,-119.00,2950.00,1522.00,26919.00,7261.00,177.00,5084.00
2022-07-07 15:00:00,358.00,4531.00,39.00,203.00,-296.00,3093.00,1664.00,26753.00,6019.00,180.00,5017.00
2022-07-07 16:00:00,359.00,4533.00,39.00,720.00,548.00,3321.00,2231.00,26822.00,4338.00,184.00,4894.00
2022-07-07 17:00:00,357.00,4296.00,38.00,563.00,1080.00,3624.00,1861.00,26913.00,2306.00,195.00,4983.00
2022-07-07 18:00:00,358.00,4303.00,38.00,226.00,1195.00,3682.00,1884.00,26944.00,838.00,194.00,4830.00
2022-07-07 19:00:00,358.00,4452.00,38.00,151.00,1208.00,3701.00,1881.00,26988.00,286.00,194.00,4333.00
2022-07-07 20:00:00,358.00,4553.00,38.00,615.00,1243.00,3858.00,1943.00,26978.00,0.00,195.00,4394.00
2022-07-07 21:00:00,358.00,4606.00,38.00,922.00,1141.00,3851.00,2002.00,26952.00,0.00,196.00,4685.00
2022-07-07 22:00:00,358.00,4478.00,39.00,652.00,139.00,3337.00,1381.00,26536.00,0.00,196.00,4848.00
2022-07-07 23:00:00,358.00,4658.00,38.00,153.00,-652.00,2855.00,1142.00,26676.00,0.00,195.00,4782.00
2022-07-08 00:00:00,359.00,4936.00,38.00,153.00,-1434.00,2678.00,936.00,27066.00,0.00,192.00,4584.00
2022-07-08 01:00:00,359.00,4819.00,37.00,153.00,-1919.00,2592.00,968.00,27197.00,0.00,194.00,4202.00
2022-07-08 02:00:00,359.00,4873.00,36.00,153.00,-1868.00,2545.00,687.00,27182.00,0.00,195.00,3897.00
2022-07-08 03:00:00,358.00,4766.00,36.00,153.00,-1587.00,2535.00,786.00,27214.00,194.00,192.00,3552.00
2022-07-08 04:00:00,354.00,4780.00,36.00,174.00,-442.00,2857.00,1424.00,27224.00,367.00,188.00,3205.00
2022-07-08 05:00:00,336.00,5058.00,35.00,315.00,576.00,3389.00,1698.00,27329.00,1138.00,190.00,2742.00
2022-07-08 06:00:00,331.00,5361.00,33.00,291.00,944.00,3530.00,1259.00,27348.00,3044.00,187.00,2068.00
2022-07-08 07:00:00,330.00,5154.00,32.00,228.00,823.00,3317.00,1050.00,27324.00,5515.00,184.00,1891.00
2022-07-08 08:00:00,329.00,4917.00,31.00,184.00,426.00,3058.00,951.00,27289.00,7760.00,176.00,1771.00
2022-07-08 09:00:00,331.00,4757.00,30.00,152.00,473.00,3061.00,1026.00,27319.00,9332.00,181.00,1889.00
2022-07-08 10:00:00,331.00,4595.00,29.00,152.00,404.00,3048.00,1072.00,27356.00,10204.00,182.00,2090.00
2022-07-08 11:00:00,333.00,4591.00,29.00,151.00,441.00,3084.00,1010.00,27379.00,10584.00,186.00,2211.00
2022-07-08 12:00:00,332.00,4553.00,28.00,151.00,168.00,3125.00,993.00,27431.00,10492.00,182.00,2482.00
2022-07-08 13:00:00,332.00,4471.00,30.00,151.00,-414.00,3072.00,879.00,27432.00,9976.00,186.00,2785.00
2022-07-08 14:00:00,332.00,4587.00,30.00,151.00,-1087.00,3008.00,1287.00,27406.00,8901.00,189.00,3061.00
2022-07-08 15:00:00,332.00,4367.00,31.00,151.00,-863.00,3110.00,1275.00,27583.00,7296.00,188.00,3416.00
2022-07-08 16:00:00,331.00,4583.00,32.00,151.00,137.00,3349.00,1826.00,27590.00,5140.00,188.00,3553.00
2022-07-08 17:00:00,329.00,4650.00,31.00,151.00,607.00,3677.00,1845.00,27507.00,2682.00,187.00,3511.00
2022-07-08 18:00:00,330.00,4815.00,30.00,151.00,479.00,3785.00,1922.00,26913.00,906.00,187.00,3216.00
2022-07-08 19:00:00,331.00,4865.00,29.00,151.00,455.00,3581.00,2118.00,26929.00,277.00,181.00,3051.00
2022-07-08 20:00:00,331.00,4632.00,28.00,151.00,875.00,3607.00,2012.00,27470.00,0.00,180.00,3463.00
2022-07-08 21:00:00,331.00,4500.00,27.00,151.00,512.00,3308.00,1510.00,27486.00,0.00,191.00,3690.00
2022-07-08 22:00:00,346.00,4414.00,25.00,152.00,59.00,3007.00,707.00,27042.00,0.00,188.00,3570.00
2022-07-08 23:00:00,357.00,4051.00,25.00,153.00,-354.00,2756.00,543.00,26937.00,0.00,189.00,3441.00
2022-07-09 00:00:00,332.00,3492.00,24.00,152.00,-992.00,2614.00,325.00,27018.00,0.00,189.00,3192.00
2022-07-09 01:00:00,333.00,3104.00,24.00,151.00,-1449.00,2459.00,425.00,26449.00,0.00,194.00,3065.00
2022-07-09 02:00:00,330.00,2961.00,24.00,151.00,-1765.00,2365.00,497.00,26581.00,0.00,194.00,2879.00
2022-07-09 03:00:00,330.00,3077.00,25.00,151.00,-1864.00,2312.00,855.00,26327.00,177.00,192.00,2606.00
2022-07-09 04:00:00,330.00,2795.00,26.00,151.00,-1875.00,2369.00,1311.00,26156.00,348.00,188.00,2424.00
2022-07-09 05:00:00,331.00,2510.00,27.00,151.00,-1137.00,2630.00,1459.00,26068.00,1107.00,196.00,2114.00
2022-07-09 06:00:00,332.00,2606.00,26.00,151.00,-1006.00,2779.00,1443.00,26125.00,3000.00,196.00,1405.00
2022-07-09 07:00:00,331.00,2423.00,25.00,151.00,-181.00,2753.00,1484.00,26042.00,5465.00,189.00,1111.00
2022-07-09 08:00:00,331.00,2365.00,24.00,151.00,-228.00,2675.00,1157.00,26042.00,7541.00,189.00,1375.00
2022-07-09 09:00:00,331.00,1962.00,24.00,150.00,-495.00,2550.00,833.00,26210.00,9056.00,192.00,1693.00
2022-07-09 10:00:00,332.00,1868.00,24.00,150.00,-679.00,2468.00,839.00,26235.00,9878.00,194.00,1819.00
2022-07-09 11:00:00,331.00,1786.00,24.00,148.00,-791.00,2425.00,699.00,26251.00,10124.00,194.00,2034.00
2022-07-09 12:00:00,331.00,1627.00,24.00,149.00,-1239.00,2407.00,618.00,25855.00,10046.00,193.00,2649.00
2022-07-09 13:00:00,332.00,1596.00,25.00,148.00,-1610.00,2376.00,763.00,25645.00,9550.00,192.00,3435.00
2022-07-09 14:00:00,332.00,2004.00,26.00,148.00,-1613.00,2453.00,765.00,25669.00,8624.00,194.00,4266.00
2022-07-09 15:00:00,330.00,2800.00,27.00,148.00,-1478.00,2463.00,764.00,25792.00,7136.00,193.00,4824.00
2022-07-09 16:00:00,331.00,3420.00,28.00,148.00,-488.00,2525.00,948.00,25763.00,4959.00,194.00,5076.00
2022-07-09 17:00:00,332.00,3814.00,28.00,148.00,13.00,2807.00,1110.00,25881.00,2589.00,195.00,5211.00
2022-07-09 18:00:00,332.00,3775.00,28.00,149.00,159.00,2871.00,1142.00,26390.00,888.00,195.00,5445.00
2022-07-09 19:00:00,331.00,3596.00,28.00,149.00,-142.00,2842.00,1142.00,26569.00,273.00,194.00,5400.00
2022-07-09 20:00:00,331.00,3724.00,27.00,150.00,321.00,2965.00,1368.00,26577.00,0.00,197.00,5409.00
2022-07-09 21:00:00,331.00,3613.00,26.00,150.00,587.00,3000.00,1180.00,26428.00,0.00,197.00,5570.00
2022-07-09 22:00:00,331.00,3210.00,25.00,150.00,282.00,2565.00,1235.00,26269.00,0.00,199.00,5536.00
2022-07-09 23:00:00,332.00,2667.00,24.00,151.00,-547.00,2390.00,1192.00,25965.00,0.00,195.00,5249.00
2022-07-10 00:00:00,331.00,2058.00,24.00,151.00,-572.00,2451.00,1095.00,25817.00,0.00,197.00,4818.00
2022-07-10 01:00:00,331.00,1054.00,24.00,151.00,-868.00,2336.00,748.00,25689.00,0.00,198.00,4360.00
2022-07-10 02:00:00,331.00,952.00,24.00,151.00,-1186.00,2193.00,530.00,25490.00,0.00,195.00,4222.00
2022-07-10 03:00:00,332.00,971.00,24.00,151.00,-1462.00,2170.00,523.00,25592.00,0.00,184.00,3901.00
2022-07-10 04:00:00,332.00,925.00,24.00,151.00,-1493.00,2308.00,740.00,25509.00,340.00,188.00,3670.00
2022-07-10 05:00:00,330.00,1050.00,25.00,151.00,-1766.00,2300.00,808.00,25705.00,1108.00,189.00,3104.00
2022-07-10 06:00:00,331.00,1063.00,25.00,151.00,-1631.00,2308.00,777.00,25683.00,3090.00,187.00,2480.00
2022-07-10 07:00:00,332.00,1016.00,24.00,151.00,-1179.00,2341.00,732.00,25570.00,5628.00,178.00,2337.00
2022-07-10 08:00:00,332.00,944.00,24.00,151.00,-1436.00,2354.00,776.00,25537.00,7781.00,185.00,2459.00
2022-07-10 09:00:00,332.00,1010.00,24.00,150.00,-1550.00,2254.00,651.00,25760.00,9262.00,183.00,2691.00
2022-07-10 10:00:00,333.00,1055.00,24.00,150.00,-920.00,2217.00,583.00,25665.00,10030.00,179.00,2737.00
2022-07-10 11:00:00,332.00,1107.00,24.00,149.00,-1333.00,2116.00,648.00,25555.00,10370.00,180.00,2826.00
2022-07-10 12:00:00,331.00,1060.00,24.00,149.00,-1847.00,2007.00,521.00,24410.00,10296.00,189.00,2897.00
2022-07-10 13:00:00,330.00,1113.00,25.00,148.00,-1707.00,2073.00,567.00,24560.00,9749.00,192.00,3010.00
2022-07-10 14:00:00,330.00,1061.00,25.00,148.00,-1650.00,2090.00,628.00,24848.00,8763.00,193.00,3278.00
2022-07-10 15:00:00,330.00,1031.00,26.00,148.00,-1369.00,2218.00,789.00,25464.00,7170.00,193.00,3682.00
2022-07-10 16:00:00,330.00,1936.00,26.00,148.00,-582.00,2394.00,899.00,25715.00,5074.00,192.00,3920.00
2022-07-10 17:00:00,331.00,3593.00,26.00,148.00,-217.00,2708.00,1055.00,25756.00,2620.00,193.00,4127.00
2022-07-10 18:00:00,330.00,4176.00,26.00,148.00,729.00,2806.00,1316.00,26021.00,877.00,191.00,4089.00
2022-07-10 19:00:00,333.00,4398.00,26.00,148.00,562.00,2844.00,1217.00,26184.00,269.00,190.00,3801.00
2022-07-10 20:00:00,332.00,4255.00,26.00,149.00,1110.00,2901.00,1342.00,26207.00,0.00,183.00,4162.00
2022-07-10 21:00:00,332.00,4102.00,25.00,149.00,724.00,2889.00,1193.00,26016.00,0.00,184.00,4543.00
2022-07-10 22:00:00,332.00,3710.00,24.00,150.00,-404.00,2476.00,1146.00,26020.00,0.00,174.00,4634.00
2022-07-10 23:00:00,331.00,3119.00,23.00,150.00,-1331.00,2208.00,1087.00,26330.00,0.00,177.00,4389.00
2022-07-11 00:00:00,331.00,3562.00,23.00,150.00,-1525.00,2094.00,782.00,26642.00,0.00,190.00,4130.00
2022-07-11 01:00:00,331.00,3597.00,23.00,151.00,-1705.00,2183.00,756.00,26756.00,0.00,192.00,3803.00
2022-07-11 02:00:00,332.00,3730.00,23.00,151.00,-1563.00,2095.00,719.00,27014.00,0.00,193.00,3602.00
2022-07-11 03:00:00,332.00,3588.00,23.00,151.00,-1304.00,2085.00,645.00,27283.00,0.00,191.00,3491.00
2022-07-11 04:00:00,332.00,4163.00,23.00,153.00,65.00,2203.00,781.00,27891.00,336.00,179.00,3413.00
2022-07-11 05:00:00,331.00,4349.00,23.00,153.00,759.00,2399.00,980.00,28258.00,1078.00,143.00,2891.00
2022-07-11 06:00:00,331.00,4443.00,23.00,153.00,1148.00,2800.00,1126.00,28418.00,3043.00,139.00,2152.00
2022-07-11 07:00:00,327.00,4208.00,23.00,153.00,849.00,3019.00,1129.00,28396.00,5576.00,154.00,2344.00
2022-07-11 08:00:00,328.00,4109.00,23.00,152.00,284.00,2643.00,888.00,28235.00,7683.00,149.00,2580.00
2022-07-11 09:00:00,329.00,4198.00,23.00,152.00,244.00,2581.00,922.00,28214.00,9120.00,144.00,2785.00
2022-07-11 10:00:00,328.00,4093.00,23.00,151.00,817.00,2417.00,817.00,28181.00,9986.00,147.00,2763.00
2022-07-11 11:00:00,330.00,3962.00,23.00,150.00,745.00,2389.00,681.00,28091.00,10280.00,161.00,2639.00
2022-07-11 12:00:00,329.00,4223.00,23.00,150.00,147.00,2291.00,655.00,28097.00,10151.00,166.00,2738.00
2022-07-11 13:00:00,329.00,4621.00,23.00,149.00,110.00,2264.00,921.00,28080.00,9620.00,168.00,2633.00
2022-07-11 14:00:00,329.00,4482.00,23.00,149.00,417.00,2420.00,1172.00,27970.00,8548.00,171.00,2571.00
2022-07-11 15:00:00,328.00,4638.00,23.00,185.00,1004.00,2573.00,1155.00,28049.00,7056.00,174.00,2589.00
2022-07-11 16:00:00,331.00,4523.00,24.00,480.00,1336.00,2900.00,1550.00,28088.00,4896.00,175.00,2586.00
2022-07-11 17:00:00,330.00,4670.00,24.00,305.00,1540.00,3167.00,2030.00,28081.00,2574.00,174.00,2546.00
2022-07-11 18:00:00,331.00,4682.00,24.00,299.00,1530.00,3104.00,2194.00,28081.00,863.00,177.00,2469.00
2022-07-11 19:00:00,331.00,4649.00,24.00,300.00,1448.00,2969.00,1866.00,28115.00,271.00,178.00,2562.00
2022-07-11 20:00:00,331.00,4575.00,24.00,298.00,1292.00,3082.00,1849.00,28120.00,0.00,176.00,3298.00
2022-07-11 21:00:00,331.00,4473.00,24.00,294.00,1221.00,2894.00,1700.00,28077.00,0.00,178.00,3885.00
2022-07-11 22:00:00,331.00,4409.00,28.00,195.00,238.00,2736.00,1755.00,27714.00,0.00,172.00,3959.00
2022-07-11 23:00:00,331.00,4296.00,28.00,145.00,-588.00,2382.00,1489.00,27846.00,0.00,169.00,3718.00
2022-07-12 00:00:00,330.00,4517.00,29.00,145.00,-892.00,2258.00,874.00,27502.00,0.00,166.00,3510.00
2022-07-12 01:00:00,331.00,4558.00,29.00,145.00,-1408.00,2286.00,1136.00,27380.00,0.00,167.00,3230.00
