,Fossil Brown coal/Lignite,Fossil Gas,Fossil Oil,Hydro Pumped Storage,Hydro Water Reservoir,Solar,Wind Onshore
2022-06-28 04:00:00,1084.00,3188.00,0.00,38.00,339.00,317.00,808.00
2022-06-28 05:00:00,1087.00,3239.00,0.00,114.00,583.00,952.00,850.00
2022-06-28 06:00:00,1077.00,3409.00,0.00,115.00,588.00,1631.00,896.00
2022-06-28 07:00:00,1049.00,3456.00,0.00,79.00,581.00,2201.00,1046.00
2022-06-28 08:00:00,1042.00,3205.00,0.00,38.00,439.00,2554.00,1151.00
2022-06-28 09:00:00,1034.00,3238.00,0.00,43.00,506.00,2765.00,1187.00
2022-06-28 10:00:00,1046.00,3515.00,0.00,38.00,435.00,2838.00,1172.00
2022-06-28 11:00:00,1039.00,3320.00,0.00,37.00,303.00,2768.00,1275.00
2022-06-28 12:00:00,1054.00,3286.00,0.00,37.00,322.00,2540.00,1344.00
2022-06-28 13:00:00,1055.00,3325.00,0.00,46.00,531.00,2140.00,1323.00
2022-06-28 14:00:00,1073.00,3395.00,0.00,193.00,706.00,1593.00,1231.00
2022-06-28 15:00:00,1100.00,3716.00,0.00,309.00,1252.00,0.00,973.00
2022-06-28 16:00:00,1101.00,3913.00,0.00,236.00,1223.00,0.00,808.00
2022-06-28 17:00:00,1111.00,3989.00,0.00,372.00,1328.00,0.00,682.00
2022-06-28 18:00:00,1111.00,3989.00,0.00,476.00,1218.00,0.00,673.00
2022-06-28 19:00:00,1093.00,3779.00,0.00,391.00,1112.00,0.00,817.00
2022-06-28 20:00:00,1068.00,3512.00,0.00,212.00,1022.00,0.00,841.00
2022-06-28 21:00:00,1072.00,3378.00,0.00,83.00,445.00,0.00,804.00
2022-06-28 22:00:00,1093.00,3180.00,0.00,0.00,117.00,0.00,802.00
2022-06-28 23:00:00,1075.00,2915.00,0.00,0.00,119.00,0.00,1007.00
2022-06-29 00:00:00,1063.00,2645.00,0.00,0.00,127.00,0.00,1247.00
2022-06-29 01:00:00,1065.00,2620.00,0.00,0.00,106.00,0.00,1274.00
2022-06-29 02:00:00,1071.00,2732.00,0.00,0.00,170.00,0.00,1227.00
2022-06-29 03:00:00,1076.00,2826.00,0.00,0.00,271.00,0.00,1137.00
2022-06-29 04:00:00,1087.00,3051.00,0.00,74.00,559.00,312.00,1071.00
2022-06-29 05:00:00,1079.00,2908.00,0.00,145.00,780.00,897.00,1185.00
2022-06-29 06:00:00,1044.00,2596.00,0.00,131.00,788.00,1616.00,1215.00
2022-06-29 07:00:00,1062.00,2874.00,0.00,84.00,708.00,2223.00,1138.00
2022-06-29 08:00:00,1063.00,2916.00,0.00,39.00,463.00,2619.00,1035.00
2022-06-29 09:00:00,1057.00,2955.00,0.00,38.00,409.00,2804.00,990.00
2022-06-29 10:00:00,1054.00,3274.00,0.00,38.00,320.00,2859.00,953.00
2022-06-29 11:00:00,1061.00,3001.00,0.00,64.00,295.00,2786.00,995.00
2022-06-29 12:00:00,1059.00,2720.00,0.00,83.00,284.00,2583.00,1100.00
2022-06-29 13:00:00,1058.00,2786.00,0.00,102.00,324.00,2221.00,1152.00
2022-06-29 14:00:00,1059.00,3335.00,0.00,146.00,670.00,1690.00,1170.00
2022-06-29 15:00:00,1099.00,3496.00,0.00,256.00,947.00,0.00,1237.00
2022-06-29 16:00:00,1141.00,3443.00,0.00,317.00,1113.00,0.00,1115.00
2022-06-29 17:00:00,1150.00,3526.00,0.00,380.00,1138.00,0.00,983.00
2022-06-29 18:00:00,1138.00,3704.00,0.00,385.00,1152.00,0.00,948.00
2022-06-29 19:00:00,1137.00,3871.00,0.00,372.00,1071.00,0.00,847.00
2022-06-29 20:00:00,1130.00,3775.00,0.00,187.00,997.00,0.00,804.00
2022-06-29 21:00:00,1121.00,3493.00,0.00,151.00,667.00,0.00,764.00
2022-06-29 22:00:00,1001.00,3796.00,0.00,0.00,132.00,0.00,664.00
2022-06-29 23:00:00,1048.00,3532.00,0.00,0.00,78.00,0.00,626.00
2022-06-30 00:00:00,1099.00,3472.00,0.00,0.00,93.00,0.00,640.00
2022-06-30 01:00:00,1093.00,3459.00,0.00,0.00,132.00,0.00,671.00
2022-06-30 02:00:00,1077.00,3607.00,0.00,0.00,135.00,0.00,722.00
2022-06-30 03:00:00,1091.00,3671.00,0.00,0.00,197.00,0.00,716.00
2022-06-30 04:00:00,1103.00,3888.00,0.00,44.00,567.00,336.00,710.00
2022-06-30 05:00:00,1100.00,3884.00,0.00,132.00,523.00,988.00,685.00
2022-06-30 06:00:00,1108.00,3880.00,0.00,138.00,529.00,1700.00,704.00
2022-06-30 07:00:00,1091.00,3906.00,0.00,44.00,451.00,2270.00,877.00
2022-06-30 08:00:00,1076.00,3681.00,0.00,36.00,378.00,2660.00,1003.00
2022-06-30 09:00:00,1061.00,3661.00,0.00,55.00,304.00,2887.00,1025.00
2022-06-30 10:00:00,1080.00,3792.00,0.00,33.00,306.00,2965.00,968.00
2022-06-30 11:00:00,1092.00,3776.00,0.00,34.00,284.00,2886.00,1009.00
2022-06-30 12:00:00,1104.00,3748.00,0.00,36.00,345.00,2570.00,1068.00
2022-06-30 13:00:00,1113.00,3849.00,0.00,92.00,489.00,2012.00,1102.00
2022-06-30 14:00:00,1131.00,4004.00,0.00,77.00,768.00,1428.00,1197.00
2022-06-30 15:00:00,1130.00,4081.00,0.00,144.00,1004.00,0.00,1208.00
2022-06-30 16:00:00,1119.00,4005.00,0.00,210.00,1100.00,0.00,1078.00
2022-06-30 17:00:00,1156.00,4163.00,0.00,506.00,1347.00,0.00,976.00
2022-06-30 18:00:00,1149.00,4093.00,0.00,575.00,1320.00,0.00,1004.00
2022-06-30 19:00:00,1186.00,4071.00,0.00,371.00,1004.00,0.00,920.00
2022-06-30 20:00:00,1182.00,4037.00,0.00,119.00,800.00,0.00,914.00
2022-06-30 21:00:00,1224.00,3995.00,0.00,91.00,217.00,0.00,888.00
2022-06-30 22:00:00,1243.00,3536.00,0.00,2.00,153.00,0.00,859.00
2022-06-30 23:00:00,1272.00,3212.00,0.00,0.00,232.00,0.00,829.00
2022-07-01 00:00:00,1269.00,3192.00,0.00,0.00,219.00,0.00,808.00
2022-07-01 01:00:00,1245.00,3037.00,0.00,0.00,215.00,0.00,916.00
2022-07-01 02:00:00,1225.00,2984.00,0.00,0.00,270.00,0.00,1040.00
2022-07-01 03:00:00,1242.00,2838.00,0.00,0.00,285.00,45.00,1171.00
2022-07-01 04:00:00,1287.00,3081.00,0.00,43.00,552.00,285.00,1251.00
2022-07-01 05:00:00,1287.00,3127.00,0.00,121.00,784.00,883.00,1329.00
2022-07-01 06:00:00,1276.00,3260.00,0.00,129.00,725.00,1593.00,1418.00
2022-07-01 07:00:00,1144.00,3208.00,0.00,63.00,780.00,2174.00,1469.00
2022-07-01 08:00:00,1083.00,3376.00,0.00,42.00,532.00,2555.00,1515.00
2022-07-01 09:00:00,1081.00,3375.00,0.00,124.00,443.00,2750.00,1460.00
2022-07-01 10:00:00,1080.00,3607.00,0.00,58.00,416.00,2796.00,1351.00
2022-07-01 11:00:00,1086.00,3609.00,0.00,37.00,430.00,2671.00,1354.00
2022-07-01 12:00:00,1090.00,3762.00,0.00,49.00,404.00,2401.00,1336.00
2022-07-01 13:00:00,1076.00,3842.00,0.00,123.00,510.00,1996.00,1210.00
2022-07-01 14:00:00,1085.00,3917.00,0.00,255.00,895.00,1451.00,1085.00
2022-07-01 15:00:00,1081.00,3809.00,0.00,249.00,964.00,837.00,1087.00
2022-07-01 16:00:00,1084.00,3651.00,0.00,387.00,996.00,305.00,1028.00
2022-07-01 17:00:00,1088.00,3874.00,0.00,439.00,1077.00,54.00,1086.00
2022-07-01 18:00:00,1091.00,3557.00,0.00,430.00,1062.00,0.00,1086.00
2022-07-01 19:00:00,1080.00,3842.00,0.00,449.00,1038.00,0.00,998.00
2022-07-01 20:00:00,1067.00,3799.00,0.00,148.00,962.00,0.00,935.00
2022-07-01 21:00:00,1088.00,3890.00,0.00,121.00,779.00,0.00,840.00
2022-07-01 22:00:00,1057.00,3263.00,0.00,0.00,303.00,0.00,806.00
2022-07-01 23:00:00,1113.00,2808.00,0.00,0.00,253.00,0.00,758.00
2022-07-02 00:00:00,1151.00,2507.00,0.00,0.00,238.00,0.00,788.00
2022-07-02 01:00:00,1125.00,2455.00,0.00,0.00,110.00,0.00,853.00
2022-07-02 02:00:00,1139.00,2464.00,0.00,0.00,136.00,0.00,871.00
2022-07-02 03:00:00,1137.00,2277.00,0.00,0.00,333.00,43.00,904.00
2022-07-02 04:00:00,1106.00,2507.00,0.00,1.00,463.00,279.00,876.00
2022-07-02 05:00:00,1148.00,2697.00,0.00,93.00,414.00,870.00,823.00
2022-07-02 06:00:00,1095.00,2379.00,0.00,94.00,350.00,1571.00,893.00
2022-07-02 07:00:00,1083.00,2342.00,0.00,0.00,226.00,2140.00,1082.00
2022-07-02 08:00:00,997.00,2050.00,0.00,42.00,113.00,2500.00,1296.00
2022-07-02 09:00:00,955.00,2027.00,0.00,32.00,120.00,2665.00,1485.00
2022-07-02 10:00:00,985.00,2166.00,0.00,32.00,114.00,2717.00,1624.00
2022-07-02 11:00:00,897.00,2144.00,0.00,32.00,95.00,2596.00,1700.00
2022-07-02 12:00:00,885.00,2298.00,0.00,44.00,93.00,2342.00,1701.00
2022-07-02 13:00:00,891.00,2394.00,0.00,44.00,97.00,1959.00,1760.00
2022-07-02 14:00:00,923.00,2500.00,0.00,151.00,370.00,1435.00,1841.00
2022-07-02 15:00:00,1011.00,2920.00,0.00,96.00,619.00,836.00,1856.00
2022-07-02 16:00:00,1063.00,3496.00,0.00,292.00,942.00,307.00,1831.00
2022-07-02 17:00:00,1121.00,3587.00,0.00,420.00,1004.00,54.00,1915.00
2022-07-02 18:00:00,1121.00,3660.00,0.00,428.00,834.00,0.00,2068.00
2022-07-02 19:00:00,1136.00,3660.00,0.00,415.00,828.00,0.00,2101.00
2022-07-02 20:00:00,1123.00,3449.00,0.00,182.00,810.00,0.00,2225.00
2022-07-02 21:00:00,1122.00,3355.00,0.00,70.00,327.00,0.00,2294.00
2022-07-02 22:00:00,1061.00,2472.00,0.00,0.00,83.00,0.00,2369.00
2022-07-02 23:00:00,955.00,1907.00,0.00,0.00,68.00,0.00,2450.00
2022-07-03 00:00:00,897.00,1270.00,0.00,0.00,108.00,0.00,2524.00
2022-07-03 01:00:00,912.00,1027.00,0.00,2.00,172.00,0.00,2500.00
2022-07-03 02:00:00,929.00,803.00,0.00,83.00,191.00,0.00,2536.00
2022-07-03 03:00:00,799.00,648.00,0.00,87.00,377.00,43.00,2529.00
2022-07-03 04:00:00,836.00,694.00,0.00,90.00,639.00,278.00,2469.00
2022-07-03 05:00:00,857.00,706.00,0.00,1.00,608.00,878.00,2437.00
2022-07-03 06:00:00,552.00,661.00,0.00,0.00,629.00,1588.00,2539.00
2022-07-03 07:00:00,397.00,574.00,0.00,0.00,353.00,2169.00,2550.00
2022-07-03 08:00:00,391.00,540.00,0.00,0.00,227.00,2553.00,2561.00
2022-07-03 09:00:00,397.00,535.00,0.00,0.00,203.00,2760.00,2563.00
2022-07-03 10:00:00,397.00,553.00,0.00,0.00,200.00,2836.00,2549.00
2022-07-03 11:00:00,398.00,611.00,0.00,0.00,179.00,2767.00,2507.00
2022-07-03 12:00:00,495.00,738.00,0.00,0.00,170.00,2548.00,2482.00
2022-07-03 13:00:00,690.00,1022.00,0.00,0.00,161.00,2169.00,2419.00
2022-07-03 14:00:00,700.00,1542.00,0.00,0.00,166.00,1606.00,2333.00
2022-07-03 15:00:00,741.00,2038.00,0.00,30.00,390.00,922.00,2209.00
2022-07-03 16:00:00,881.00,2736.00,0.00,367.00,888.00,327.00,2187.00
2022-07-03 17:00:00,920.00,2899.00,0.00,457.00,1366.00,56.00,2170.00
2022-07-03 18:00:00,936.00,2822.00,0.00,452.00,1306.00,0.00,2293.00
2022-07-03 19:00:00,933.00,2909.00,0.00,445.00,1020.00,0.00,2304.00
2022-07-03 20:00:00,926.00,2874.00,0.00,89.00,719.00,0.00,2297.00
2022-07-03 21:00:00,920.00,2729.00,0.00,54.00,202.00,0.00,2307.00
2022-07-03 22:00:00,963.00,2690.00,0.00,0.00,93.00,0.00,2259.00
2022-07-03 23:00:00,959.00,2554.00,0.00,0.00,69.00,0.00,2247.00
2022-07-04 00:00:00,965.00,2432.00,0.00,0.00,68.00,0.00,2222.00
2022-07-04 01:00:00,994.00,2220.00,0.00,0.00,71.00,0.00,2342.00
2022-07-04 02:00:00,999.00,2221.00,0.00,0.00,194.00,0.00,2383.00
2022-07-04 03:00:00,1010.00,2557.00,0.00,0.00,342.00,42.00,2300.00
2022-07-04 04:00:00,1008.00,2843.00,0.00,0.00,641.00,278.00,2278.00
2022-07-04 05:00:00,981.00,3093.00,0.00,0.00,617.00,879.00,2302.00
2022-07-04 06:00:00,975.00,2997.00,0.00,0.00,565.00,1596.00,2278.00
2022-07-04 07:00:00,990.00,3035.00,0.00,19.00,308.00,2183.00,2183.00
2022-07-04 08:00:00,1023.00,2916.00,0.00,47.00,140.00,2571.00,2184.00
2022-07-04 09:00:00,1030.00,2922.00,0.00,37.00,154.00,2781.00,2176.00
2022-07-04 10:00:00,1025.00,3013.00,0.00,37.00,181.00,2826.00,2160.00
2022-07-04 11:00:00,1026.00,2995.00,0.00,47.00,187.00,2740.00,2153.00
2022-07-04 12:00:00,1027.00,3028.00,0.00,69.00,165.00,2514.00,2140.00
2022-07-04 13:00:00,1022.00,3180.00,0.00,105.00,194.00,2138.00,2146.00
2022-07-04 14:00:00,1027.00,3427.00,0.00,98.00,377.00,1584.00,2093.00
2022-07-04 15:00:00,1026.00,3633.00,0.00,274.00,749.00,913.00,1802.00
2022-07-04 16:00:00,1028.00,3740.00,0.00,393.00,1258.00,326.00,1688.00
2022-07-04 17:00:00,1033.00,3754.00,0.00,462.00,1494.00,56.00,1628.00
2022-07-04 18:00:00,1042.00,3838.00,0.00,456.00,1527.00,0.00,1711.00
2022-07-04 19:00:00,1050.00,3884.00,0.00,248.00,1231.00,0.00,1784.00
2022-07-04 20:00:00,1055.00,3725.00,0.00,232.00,968.00,0.00,1860.00
2022-07-04 21:00:00,1052.00,3301.00,0.00,44.00,657.00,0.00,1905.00
2022-07-04 22:00:00,1048.00,3300.00,0.00,45.00,374.00,0.00,1964.00
2022-07-04 23:00:00,1012.00,3319.00,0.00,0.00,349.00,0.00,2017.00
